figure_id,source_url,licence,domain,eth_category,diagram_type,expert_reference_description,short_alt,context_paragraph,image_path,split
chem_simple_h2o_lewis,https://commons.wikimedia.org/wiki/File:H2O_Lewis_Structure_PNG.png,CC-BY-SA-4.0,chemistry,simple,Chemistry,"Lewis structure of water. Central oxygen atom with two lone pairs, bonded to two hydrogen atoms.","Lewis structure of water (H2O)","Section 3.2 introduces molecular polarity using the Lewis structure of water.",data/corpus/images/chem_simple_h2o_lewis.png,held_out
chem_simple_methane_3d,https://commons.wikimedia.org/wiki/File:Methane-3D-balls.png,Public-Domain,chemistry,simple,Chemistry,"Ball-and-stick model of methane. One central carbon (black) tetrahedrally bonded to four hydrogens (white).","Ball-and-stick methane molecule","The chapter contrasts methane's tetrahedral geometry with the bent geometry of water.",data/corpus/images/chem_simple_methane_3d.png,held_out
chem_linked_periodic_table,https://commons.wikimedia.org/wiki/File:Simple_Periodic_Table_Chart-en.svg,Public-Domain,chemistry,linked,Tables,"Standard periodic table colour-coded by group. Clicking a cell opens the element page.","Periodic table — click an element","Use the linked periodic table to look up atomic mass and electronegativity.",data/corpus/images/chem_linked_periodic_table.png,held_out
chem_linked_ph_scale,https://commons.wikimedia.org/wiki/File:PH_Scale.svg,CC-BY-3.0,chemistry,linked,Graphs,"pH scale from 0 to 14 with annotated example chemicals at each integer pH value.","pH scale, 0 to 14 with example anchors","The linked figure provides the chemical anchor points used in Section 4.",data/corpus/images/chem_linked_ph_scale.png,held_out
chem_decorative_lab_glass,https://commons.wikimedia.org/wiki/File:Beaker.jpg,Public-Domain,chemistry,decorative,Photos,"Decorative photograph of a laboratory beaker.","","Chapter header photograph; no informational content.",data/corpus/images/chem_decorative_lab_glass.png,held_out
chem_complex_titration_curve,https://commons.wikimedia.org/wiki/File:CH3COOH_titration-curve_en.svg,Public-Domain,chemistry,complex,Graphs,"Titration curve of the weak acid acetic acid (CH3COOH) titrated with NaOH. pH on the y axis from 0 to 14, volume of NaOH added on the x axis from 0 to 20 ml. The curve rises through a buffer region near pH 4 to 5, then steeply through the equivalence point marked at about 10 ml and pH 8.7, and levels off above pH 12. Shaded bands mark the methyl orange colour-change range near pH 3 to 4 and the phenolphthalein range near pH 8 to 10.","Weak-acid titration curve: CH3COOH with NaOH","The curve is the central object of Section 5; the long description must report buffer region, equivalence point, and endpoint.",data/corpus/images/chem_complex_titration_curve.png,held_out
chem_complex_reaction_mechanism,https://commons.wikimedia.org/wiki/File:Reaktionskoordinate_der_SN2-Reaktion.svg,Public-Domain,chemistry,complex,"Illustrated Diagrams","SN2 reaction coordinate diagram with the transition state at the top of the energy barrier.","SN2 reaction coordinate diagram","The mechanism is referenced throughout Chapter 7; the long description names each step.",data/corpus/images/chem_complex_reaction_mechanism.png,held_out
chem_complex_phase_diagram,https://commons.wikimedia.org/wiki/File:Phase-diag2.svg,CC-BY-SA-3.0,chemistry,complex,Graphs,"Pressure-temperature phase diagram of water with triple point (273.16 K, 611 Pa) and critical point (647 K, 22.1 MPa) labelled.","Pressure-temperature phase diagram of water","The phase diagram is the basis for Section 6's discussion of supercritical fluids.",data/corpus/images/chem_complex_phase_diagram.png,held_out
mathcs_simple_unit_circle,https://commons.wikimedia.org/wiki/File:Unit_circle.svg,Public-Domain,mathematics_cs,simple,Mathematics,"Unit circle centred at the origin with quadrant labels.","Unit circle diagram","The lecture uses the unit circle to motivate the definition of sine and cosine.",data/corpus/images/mathcs_simple_unit_circle.png,held_out
mathcs_simple_binary_tree,https://commons.wikimedia.org/wiki/File:Binary_search_tree.svg,Public-Domain,mathematics_cs,simple,"Relational Diagrams","Binary search tree with seven nodes across three levels.","Binary search tree (7 nodes)","The data structures chapter uses this tree as a running example.",data/corpus/images/mathcs_simple_binary_tree.png,held_out
